
Pre-schedule statistics


Total nodes: 54

Node class;Type;Length;Num
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeInputMappedReg;{HWOffsetFix:32, 0, UNSIGNED};0;4
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeReinterpret;{HWOffsetFix:1, 0, UNSIGNED};0;3
NodeReinterpret;{HWOffsetFix:15, 0, UNSIGNED};0;1
NodeReinterpret;{HWRawBits:15};0;1
NodeReinterpret;{HWRawBits:1};0;7
NodeReinterpret;{HWRawBits:32};0;1
NodeReinterpret;{HWRawBits:8};0;2
NodeSub;{HWOffsetFix:32, 0, UNSIGNED};0;3
